D_VEL,corr_vx,corr_vy,RMS,M_eff,resolved_frac,runtime_s
512,0.7948122906056053,0.5223576181784966,263.69618988375123,1663.2916594416508,0.8255418761921276,31.124282598495483
1024,0.7967826179936314,0.5258342185473358,264.1613215789754,1663.2916594416508,0.8255245361539796,57.47015047073364
2048,0.7962425559290364,0.53763796862824,260.8740221344403,1663.2916594416508,0.8255418761921276,134.53338861465454
4096,0.7994253742643983,0.5407665272796728,264.4088380653345,1663.2916594416508,0.8255418761921276,256.18576097488403
